,type,input_size,hidden_size,output_size,num_layers,batch_size,epochs,lr,1,2,3,4,5,6,7,8,9,10
0,train,,10,,1,1,5,0.0001,0.08585236435626736,0.06872240647984047,0.055276216777403735,0.04413288126104615,0.03523817893518652,,,,,
1,val,,10,,1,1,5,0.0001,0.06423453107062313,0.050848090865959726,0.040135550105737314,0.03162210082842244,0.025663631696564455,,,,,
2,test,,10,,1,1,5,0.0001,0.09854552669352606,0.08098188106362757,0.066760303403594,0.05499157385508481,0.04600751081383542,,,,,
3,train,,80,,1,1,10,0.001,0.018571489741184957,0.006035054912192411,0.003548334347114077,0.0029798487953990437,0.0025073713399655796,0.0021022912000666517,0.001792774982125896,0.0015562002534150248,0.0014382579976578806,0.0013788171650554028
4,val,,80,,1,1,10,0.001,0.006504346606864904,0.0037018777948105708,0.0030559146382276798,0.0026199947751592845,0.0023908509546244103,0.00204334252662698,0.0017498234188274688,0.0015423277574073938,0.0014404896282940172,0.0014131347456390762
5,test,,80,,1,1,10,0.001,0.008065731692017596,0.004176338096026723,0.003954356188555003,0.004089926925524579,0.004264523465903231,0.004789497340664782,0.004242140967107844,0.004040157560283612,0.004180488973935625,0.0045457526491526025
