open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,qty_transactions,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
23229.12000000,23300.22000000,23206.01000000,23263.37000000,58.53829100,1677574799999,1361780.72206179,1602,29.08313000,676700.48929545,0
23265.22000000,23320.60000000,23245.28000000,23267.86000000,39.26740400,1677578399999,914178.55917793,1116,19.54006800,454973.44179387,0
23267.95000000,23384.45000000,23254.26000000,23363.05000000,38.31686200,1677581999999,893363.56387807,1103,20.71401900,483011.09522706,0
23361.97000000,23417.96000000,23336.71000000,23391.70000000,41.99007000,1677585599999,981721.22262240,1155,24.03928700,562054.28222693,0
23394.07000000,23500.72000000,23386.31000000,23453.87000000,58.50241200,1677589199999,1372323.35929573,1530,29.38706200,689428.81491188,0
23452.44000000,23486.87000000,23373.28000000,23404.65000000,79.91797700,1677592799999,1870558.55008675,2427,37.76194000,883923.93620731,0
23403.83000000,23572.41000000,23322.14000000,23426.41000000,79.44565400,1677596399999,1863322.39888205,2262,39.61466400,929211.53871309,0
23427.22000000,23543.92000000,23405.67000000,23521.15000000,172.99316900,1677599999999,4062247.00723608,5184,91.92954300,2158742.60953941,0
23520.35000000,23596.76000000,23431.86000000,23457.09000000,80.48135300,1677603599999,1892008.93849406,2963,41.34495000,971928.80593259,0
23457.71000000,23557.70000000,23449.94000000,23526.15000000,49.19486100,1677607199999,1156314.33153208,1728,26.95614000,633597.46634076,0
23524.29000000,23547.05000000,23437.55000000,23481.17000000,56.39155900,1677610799999,1324493.47329018,2015,27.95386800,656571.89691039,0
23482.95000000,23493.17000000,23210.00000000,23264.73000000,133.71751100,1677614399999,3118836.16306169,3953,68.54406800,1598569.95040952,0
23263.03000000,23340.41000000,23170.37000000,23268.69000000,100.73903100,1677617999999,2344446.65888202,4135,53.49223400,1244885.05434122,0
23268.21000000,23275.88000000,23027.14000000,23138.05000000,139.03407100,1677621599999,3216767.47595512,5397,64.87185700,1500774.90024549,0
23136.23000000,23241.38000000,23097.66000000,23156.50000000,28.87772300,1677625199999,669118.01081766,1019,16.73691100,387823.47439908,0
23152.02000000,23193.60000000,23090.52000000,23140.10000000,78.33061500,1677628799999,1813116.28747778,1942,39.67063900,918263.03941470,0
23140.48000000,23216.80000000,23020.41000000,23084.12000000,97.62912500,1677632399999,2258207.40253500,2522,47.56159800,1100186.70819149,0
23103.13000000,23293.02000000,23072.56000000,23242.56000000,71.11005000,1677635999999,1649170.63122955,1929,35.02824600,812534.76795408,0
23242.29000000,23331.02000000,23233.04000000,23329.35000000,33.78322000,1677639599999,786362.03561923,1301,17.42323100,405533.88318424,0
